DateTime,Diff
2011-12-14,38.355000899999965
2011-12-15,8.587000200000034
2011-12-16,-15.125000999999997
2011-12-17,-16.176999900000027
2011-12-18,39.58299990000003
2011-12-19,-14.538999700000033
2011-12-20,10.638999500000011
2011-12-21,-15.254999399999974
2011-12-22,-45.76100050000002
2011-12-23,3.9780006999999955
2011-12-24,1.081999599999989
2011-12-25,-0.27800009999998565
2011-12-26,-16.315000200000014
2011-12-27,4.9700003000000095
2011-12-28,37.1390007
2011-12-29,-1.8850010999999824
2011-12-30,29.010000399999967
2011-12-31,1.7830005000000142
2012-01-01,-5.245000199999993
2012-01-02,-5.526999900000021
2012-01-03,-1.9289999999999736
2012-01-04,2.8129993000000013
2012-01-05,22.390999899999997
2012-01-06,-34.02799950000002
2012-01-07,-1.170999399999971
2012-01-08,26.14899919999999
2012-01-09,-11.909999500000026
2012-01-10,-17.268000899999976
2012-01-11,-4.492999099999992
2012-01-12,13.410999500000003
2012-01-13,-7.399999500000035
2012-01-14,18.91999990000005
2012-01-15,-0.6489995000000022
2012-01-16,19.743999299999984
2012-01-17,-19.06799970000003
2012-01-18,16.254998999999998
2012-01-19,-12.980999499999996
2012-01-20,-11.517000300000007
2012-01-21,-22.361999899999972
2012-01-22,38.68899969999998
2012-01-23,10.136000599999988
2012-01-24,10.874999900000034
2012-01-25,-27.51500040000002
2012-01-26,16.96200060000001
2012-01-27,-30.98600049999999
2012-01-28,17.076999599999965
2012-01-29,6.7020008000000075
2012-01-30,25.760000200000036
2012-01-31,-3.5670001000000298
2012-02-01,31.761999900000035
2012-02-02,33.62699989999999
2012-02-03,-14.504999300000009
2012-02-04,-13.947000600000024
2012-02-05,33.68500020000005
2012-02-06,-22.147999300000038
2012-02-07,9.90499950000003
2012-02-08,37.312999599999955
2012-02-09,-25.428999399999952
2012-02-10,-49.585001000000034
2012-02-11,10.526001199999996
2012-02-12,33.60099930000001
2012-02-13,13.630999299999985
2012-02-14,-31.068999700000006
2012-02-15,-21.90700039999996
2012-02-16,-26.121998899999994
2012-02-17,-39.56500060000002
2012-02-18,1.3610006000000112
2012-02-19,15.43399919999996
2012-02-20,36.145001000000036
2012-02-21,-10.689001200000007
2012-02-22,-19.34099950000001
2012-02-23,-11.443000100000006
2012-02-24,-20.535999799999956
2012-02-25,23.620999799999993
2012-02-26,10.037000199999966
2012-02-27,-21.041000499999996
2012-02-28,-26.741000200000002
2012-02-29,2.0090005000000133
2012-03-01,-1.7920000000000016
2012-03-02,6.141000200000008
2012-03-03,10.199000000000012
2012-03-04,29.560000000000002
2012-03-05,0.00799989999995887
2012-03-06,31.930000300000017
2012-03-07,7.580999700000007
2012-03-08,-21.902999800000032
2012-03-09,-38.364998999999955
2012-03-10,-28.143000600000022
2012-03-11,4.617999300000008
2012-03-12,11.44299989999999
2012-03-13,6.594000300000005
2012-03-14,0.7069993999999724
2012-03-15,-10.031999399999961
2012-03-16,31.15199960000001
2012-03-17,-19.44799900000004
2012-03-18,15.238999299999989
2012-03-19,-5.105999899999972
2012-03-20,-17.534998700000017
2012-03-21,16.769999100000007
2012-03-22,-14.25200000000001
2012-03-23,-17.787000399999982
2012-03-24,-33.67199959999999
2012-03-25,14.86099999999999
2012-03-26,8.372999899999996
2012-03-27,-22.1030011
2012-03-28,20.844000600000015
2012-03-29,7.527999999999992
2012-03-30,-24.61099949999999
2012-03-31,15.770000100000004
2012-04-01,-9.133000200000026
2012-04-02,19.361999200000014
2012-04-03,16.117000899999994
2012-04-04,-9.485000299999996
2012-04-05,-4.708999900000009
2012-04-06,-20.897999400000003
2012-04-07,10.949999300000002
2012-04-08,-18.6170003
2012-04-09,10.6110003
2012-04-10,-5.9870003999999994
2012-04-11,36.65800060000001
2012-04-12,-9.435000099999996
2012-04-13,21.548000099999996
2012-04-14,-45.72900010000001
2012-04-15,52.759999900000025
2012-04-16,-5.409999500000026
2012-04-17,2.964999700000021
2012-04-18,-10.930000399999983
2012-04-19,-9.659000100000014
2012-04-20,-29.97700020000002
2012-04-21,-32.686999499999985
2012-04-22,11.983000299999986
2012-04-23,32.53799990000002
2012-04-24,-18.007000000000005
2012-04-25,10.570999699999987
2012-04-26,3.0510002999999983
2012-04-27,13.144999800000022
2012-04-28,-6.3879995000000065
2012-04-29,35.11399929999999
2012-04-30,-41.372999300000004
2012-05-01,16.792
2012-05-02,-14.861000099999984
2012-05-03,3.764999700000004
2012-05-04,-15.753000100000008
2012-05-05,11.772000300000002
2012-05-06,35.001000000000005
2012-05-07,-1.1910003000000415
2012-05-08,-20.78000019999996
2012-05-09,-0.7740003000000115
2012-05-10,-14.559999500000004
2012-05-11,-19.299000199999995
2012-05-12,-28.575999800000005
2012-05-13,43.19899990000002
2012-05-14,8.852999899999986
2012-05-15,-13.654999500000002
2012-05-16,-1.9000005000000044
2012-05-17,14.027000000000015
2012-05-18,-11.702999599999998
2012-05-19,-18.038000100000005
2012-05-20,25.846000000000004
2012-05-21,11.873999900000001
2012-05-22,-30.489999900000015
2012-05-23,-9.244000099999994
2012-05-24,-18.181999899999994
2012-05-25,-0.9959999000000153
2012-05-26,-10.623000099999985
2012-05-27,11.945000199999981
2012-05-28,10.661999900000012
2012-05-29,-16.233000000000004
2012-05-30,0.5829999000000043
2012-05-31,6.179000000000002
2012-06-01,-10.139999899999992
2012-06-02,-2.386000100000018
2012-06-03,20.775000200000022
2012-06-04,-9.669000100000005
2012-06-05,35.59699999999998
2012-06-06,-17.899
2012-06-07,12.34799990000002
2012-06-08,-38.747000000000014
2012-06-09,2.6450001000000043
